id;name;authority_idp_code;phone;address;website
1;Research;Bedfordshire Grocery;206-405-5382 x93171;parsing Concrete Practical;transform Tuna value-added
2;cyan Health partnerships;alarm Grass-roots;(223) 831-8325;bypass synergize;Response Small Fresh Sausages
3;Generic Rand Mountain;parsing;537.762.1140;deposit;Outdoors iterate Agent
4;Beauty;Personal Loan Account;1-293-684-2345;Sausages Germany Ball;program Awesome Soft Chicken
5;Data;markets compressing;1-062-385-4951 x88357;Barbados Dollar;Home Loan Account Outdoors Open-architected
6;Plastic;data-warehouse;784.751.8564;Road;enterprise
7;PCI Chicken invoice;metrics;382-853-4229 x3742;Borders client-driven;Maryland XML Saint Helena
8;interface ADP calculating;Rubber;1-896-978-8860 x94165;Baby;Music Devolved Brooks
9;national users;Won;266.143.3772 x1376;deliver JBOD Prairie;Buckinghamshire
10;THX Intelligent;fuchsia;(385) 591-4399 x1390;engineer;Somoni UIC-Franc Dong
